title,text,url,date,source,label
"What to expect from Q3 results of IndiGo, SpiceJet, Jet Airways","SpiceJet, IndiGo and Jet Airways will benefit from the reduction in ATF prices, but in the long run.Q3 is a seasonally strong period and that could help offset the impact of high crude oil prices and a weak rupee",https://www.livemint.com/Money/IuUJ4KylX5R559ervLGXFL/Q3-results-of-IndiGo-SpiceJet-Jet-Airways.html,"Fri, 18 Jan 2019 08:30:45 +0530",livemint,neutral
"Forget privatisation, govt has hugged its banks tighter",The government through its recapitalisation plan has increased its stake in PSU banks.Part of the capital infusion in FY18 was done through recapitalisation bonds,https://www.livemint.com/Money/86BDC9r6zqgl995QQ7qJiL/Forget-privatisation-govt-has-hugged-its-banks-tighter.html,"Fri, 18 Jan 2019 08:08:26 +0530",livemint,neutral
"Flat profit, rising debt are growing worries for Reliance",Refining and petrochemical businesses are the main growth drivers.December quarter (Q3) results show things have indeed slowed down in these segments,https://www.livemint.com/Money/oi23Lg12aO3MWoBs0Ha5MJ/RIL-Q3-result-Flat-profit-rising-debt-are-a-growing-worry.html,"Fri, 18 Jan 2019 07:51:11 +0530",livemint,neutral
Q3 results: HUL growth off a high base shows it&#8217;s on a roll,The thrust to rural spends in an election year should aid Hindustan Unilever as 40% of its revenue comes from rural areas.A lot will also depend on raw material costs and how HUL handles them,https://www.livemint.com/Money/eVIEihV4xTUzhsKJOJhp7K/Q3-results-HUL-growth-off-a-high-base-shows-its-on-a-roll.html,"Fri, 18 Jan 2019 04:09:53 +0530",livemint,neutral
"1 step forward, 2 steps back. Is GST going the VAT way?",The GST Council allowed flood-hit Kerala to levy a calamity cess of 1% on intra-state sales for two years.Tax experts say the Kerala GST cess takes things from bad to worse&amp;nbsp;,https://www.livemint.com/Money/kQ9lEhekbWaksC4BdVuqZO/1-step-forward-2-steps-back-Is-GST-going-the-VAT-way.html,"Thu, 17 Jan 2019 07:19:59 +0530",livemint,neutral
Mindtree delivers stable Q3 results after a shock Q2,"For the stock, a lot will depend on how the momentum builds into the next financial year.Incremental recovery in the banking, financial services and insurance (BFSI) vertical set to aid growth",https://www.livemint.com/Money/02GInJ84rC1NYJVYppdeTN/Mindtree-delivers-stable-Q3-results-after-a-shock-Q2.html,"Thu, 17 Jan 2019 07:02:46 +0530",livemint,neutral
Q3 results: ICICI Securities loses its retail broking crown,ICICI Securities has reported a 34% fall in Q3 net profit to  ₹101.2 crore.Revenue slumped 18% during the quarter from a year ago,https://www.livemint.com/Money/0wAmnRIRzxhkIfTRQemjiI/Q3-results-ICICI-Securities-loses-its-retail-broking-crown.html,"Wed, 16 Jan 2019 06:14:10 +0530",livemint,neutral
High drug approvals to keep up pricing pressure for pharma firms,Competition and price erosion have triggered a rethink among firms.Filings for drug approvals slowed in October and November,https://www.livemint.com/Money/ypJwdHV7X03aHVwn7BgoyH/High-drug-approvals-to-keep-up-pricing-pressure-for-pharma-f.html,"Wed, 16 Jan 2019 05:59:34 +0530",livemint,neutral
"Roads sector: Toll collections set to surge, but risks loom for developers","Toll rate revisions are linked partly to the wholesale price index (WPI).So far this year, the index has risen 4.7%, higher than the 3% growth in FY18",https://www.livemint.com/Money/2jgaRco1lLY3r4oIGK1tzO/Roads-sector-Toll-collections-set-to-surge-but-risks-loom.html,"Tue, 15 Jan 2019 00:01:09 +0530",livemint,neutral
